Ortsteil;Glasfaser-Anzahl;Glasfaser-Anteil (%);Ortsteil-Nummer
Blankenfelde;1;0,1;308
Wartenberg;1;0,1;1107
Müggelheim;6;0,2;914
Konradshöhe;8;0,3;1203
Gatow;8;0,4;505
Nikolassee;33;0,5;606
Wannsee;30;0,5;607
Karow;69;0,7;305
Heiligensee;74;0,8;1204
Hermsdorf;91;1;1206
Plänterwald;88;1,3;902
Rudow;269;1,3;804
Baumschulenweg;152;1,4;903
Friedrichshagen;193;1,7;911
Falkenhagener Feld;382;2;508
Wilhelmsruh;92;2;313
Französisch Buchholz;280;2,6;310
Marienfelde;439;2,6;705
Wittenau;370;2,7;1209
Charlottenburg-Nord;332;3,2;406
Wilhelmstadt;731;3,2;509
Grunewald;271;3,8;404
Staaken;842;3,9;504
Waidmannslust;214;3,9;1207
Lichtenrade;1245;4,7;706
Schmargendorf;709;5;403
Zehlendorf;1789;5,5;604
Rahnsdorf;314;5,6;912
Kladow;480;5,9;506
Bohnsdorf;390;6,1;908
Grünau;298;6,7;913
Oberschöneweide;1132;7,9;909
Steglitz;3801;8,4;601
Altglienicke;1243;8,5;906
Westend;2311;9,5;405
Lankwitz;2432;9,6;603
Johannisthal;1247;10,4;904
Blankenburg;413;10,6;303
Tegel;2427;11,4;1202
Hellersdorf;5236;11,7;1005
Stadtrandsiedlung Malchow;74;12;306
Fennpfuhl;2399;12,1;1111
Heinersdorf;513;12,8;304
Mariendorf;3906;13,2;704
Biesdorf;2125;13,5;1002
Mahlsdorf;2107;14;1004
Niederschöneweide;1233;15,6;905
Alt-Treptow;1256;15,9;901
Gesundbrunnen;7618;16,2;106
Haselhorst;1693;17,6;502
Schmöckwitz;442;17,7;915
Adlershof;2418;18,5;907
Neu-Hohenschönhausen;5589;19;1109
Borsigwalde;898;19,7;1211
Prenzlauer Berg;22035;20,9;301
Buckow;4341;21,2;803
Kaulsdorf;2134;21,5;1003
Köpenick;9967;25,2;910
Pankow;10059;26,2;307
Britz;6166;26,9;802
Lichterfelde;13566;28,7;602
Dahlem;2629;29,5;605
Lichtenberg;7697;30,9;1103
Hakenfelde;5408;32,1;507
Neukölln;31140;33,5;801
Niederschönhausen;5943;34,2;311
Tempelhof;12407;35,2;703
Rosenthal;1702;36;312
Marzahn;21853;36,2;1001
Reinickendorf;17020;36,7;1201
Buch;3133;39,6;309
Kreuzberg;39462;42,7;202
Wedding;19960;43,1;105
Falkenberg;503;43,5;1104
Schöneberg;34896;45,6;701
Spandau;11008;48,6;501
Friedrichshain;44030;52,9;201
Alt-Hohenschönhausen;14761;56,8;1110
Wilmersdorf;36893;57,8;402
Rummelsburg;9309;63,7;1112
Charlottenburg;58749;65,2;401
Mitte;50715;65,8;101
Tiergarten;7552;69,3;104
Weißensee;23234;72,5;302
Märkisches Viertel;13252;74,1;1210
Friedrichsfelde;26587;80,7;1101
Gropiusstadt;16300;85,1;805
Friedenau;14765;90,2;702
Moabit;44936;91,8;102
Siemensstadt;6489;93;503
Halensee;9792;93,3;407
Karlshorst;14592;95,8;1102
Hansaviertel;3590;99,8;103
Frohnau;2;-;1205
Lübars;-;-;1208
Malchow;-;-;1106